,name_x,rating_x,district,niche_grade_x,stu_number,ratio,name_y,rating_y,city,niche_grade_y,number_school,number_student
151,Clifford Johnson School,#152 Best Public Elementary Schools in Chicago Area,Community Unit School District No. 200,grade A,488,14:1,Community Unit School District No. 200,#15 Best School Districts in Chicago Area,"WHEATON, IL",grade A+,20.0,12319.0
152,Adlai Stevenson Elementary School,#153 Best Public Elementary Schools in Chicago Area,Schaumburg Community Consolidated School District No. 54,grade A,509,12:1,,,,,,
153,Isaac Fox Elementary School,#154 Best Public Elementary Schools in Chicago Area,Lake Zurich Community Unit School District No. 95,grade A,572,17:1,Lake Zurich Community Unit School District No. 95,#22 Best School Districts in Chicago Area,"LAKE ZURICH, IL",grade A+,8.0,5565.0
154,Sheridan Elementary School,#155 Best Public Elementary Schools in Chicago Area,Lake Forest School District No. 67,grade A,222,10:1,,,,,,
155,Ferson Creek School,#156 Best Public Elementary Schools in Chicago Area,St. Charles Community Unit School District No. 303,grade A,534,18:1,St. Charles Community Unit School District No. 303,#21 Best School Districts in Chicago Area,"SAINT CHARLES, IL",grade A+,17.0,12248.0
156,Terrace Elementary School,#157 Best Public Elementary Schools in Chicago Area,Community Consolidated School District No. 62,grade A,222,11:1,,,,,,
157,Prairie Crossing Charter School,#158 Best Public Elementary Schools in Chicago Area,GRAYSLAKE,grade A,432,14:1,,,,,,
158,South Elementary School,#159 Best Public Elementary Schools in Chicago Area,Community Consolidated School District No. 62,grade A,231,11:1,,,,,,
159,Lily Lake Grade School,#160 Best Public Elementary Schools in Chicago Area,Central Community Unit School District No. 301,grade A,240,14:1,,,,,,
160,Wilmot Elementary School,#161 Best Public Elementary Schools in Chicago Area,Deerfield School District No. 109,grade A,497,13:1,,,,,,
161,Union Center Elementary School,#162 Best Public Elementary Schools in Chicago Area,Union Township School Corporation,grade A,389,20:1,Union Township School Corporation,#36 Best School Districts in Chicago Area,"VALPARAISO, IN",grade A,4.0,1463.0
162,Chippewa Elementary School,#163 Best Public Elementary Schools in Chicago Area,Palos Heights School District No. 128,grade A,208,13:1,,,,,,
163,Cumberland Elementary School,#164 Best Public Elementary Schools in Chicago Area,Community Consolidated School District No. 62,grade A,301,9:1,,,,,,
164,Ernest R. Elliott Elementary School,#165 Best Public Elementary Schools in Chicago Area,School Town of Munster,grade A,470,19:1,School Town of Munster,#26 Best School Districts in Chicago Area,"MUNSTER, IN",grade A+,5.0,4206.0
165,Anne Fox Elementary School,#166 Best Public Elementary Schools in Chicago Area,Schaumburg Community Consolidated School District No. 54,grade A,380,10:1,,,,,,
166,Butterfield School,#167 Best Public Elementary Schools in Chicago Area,Libertyville School District No. 70,grade A,482,13:1,,,,,,
167,McKenzie Elementary School,#168 Best Public Elementary Schools in Chicago Area,Wilmette School District No. 39,grade A,446,15:1,,,,,,
168,Westmoor Elementary School,#169 Best Public Elementary Schools in Chicago Area,Northbrook School District No. 28,grade A,436,10:1,,,,,,
169,Union Ridge Elementary School,#170 Best Public Elementary Schools in Chicago Area,HARWOOD HEIGHTS,grade A,661,14:1,,,,,,
170,Munhall Elementary School,#171 Best Public Elementary Schools in Chicago Area,St. Charles Community Unit School District No. 303,grade A,500,15:1,St. Charles Community Unit School District No. 303,#21 Best School Districts in Chicago Area,"SAINT CHARLES, IL",grade A+,17.0,12248.0
171,Lincoln Elementary School,#172 Best Public Elementary Schools in Chicago Area,River Forest School District No. 90,grade A,391,15:1,,,,,,
172,Park View Elementary School,#173 Best Public Elementary Schools in Chicago Area,Community Consolidated School District 89,grade A,455,15:1,,,,,,
173,Lakeview Elementary School,#174 Best Public Elementary Schools in Chicago Area,Schaumburg Community Consolidated School District No. 54,grade A,503,13:1,,,,,,
174,Ogden Avenue Elementary School,#175 Best Public Elementary Schools in Chicago Area,LaGrange School District No. 102,grade A,607,15:1,,,,,,
175,Spencer Loomis Elementary School,#176 Best Public Elementary Schools in Chicago Area,Lake Zurich Community Unit School District No. 95,grade A,595,15:1,Lake Zurich Community Unit School District No. 95,#22 Best School Districts in Chicago Area,"LAKE ZURICH, IL",grade A+,8.0,5565.0
176,John Laidlaw Elementary School,#177 Best Public Elementary Schools in Chicago Area,Western Springs School District No. 101,grade A,396,14:1,,,,,,
177,Lake Street Elementary School,#178 Best Public Elementary Schools in Chicago Area,Crown Point Community School Corporation,grade A,674,17:1,Crown Point Community School Corporation,#30 Best School Districts in Chicago Area,"CROWN POINT, IN",grade A,10.0,8795.0
178,Cloverdale Elementary School,#179 Best Public Elementary Schools in Chicago Area,Community Consolidated School District No. 93,grade A,536,12:1,,,,,,
179,Timothy Ball Elementary School,#180 Best Public Elementary Schools in Chicago Area,Crown Point Community School Corporation,grade A,539,17:1,Crown Point Community School Corporation,#30 Best School Districts in Chicago Area,"CROWN POINT, IN",grade A,10.0,8795.0
180,Edison Elementary School,#181 Best Public Elementary Schools in Chicago Area,Elmhurst School District No. 205,grade A,294,14:1,Elmhurst School District No. 205,#13 Best School Districts in Chicago Area,"ELMHURST, IL",grade A+,13.0,8596.0
181,Willard Elementary School,#182 Best Public Elementary Schools in Chicago Area,River Forest School District No. 90,grade A,407,12:1,,,,,,
182,Hawthorn Elementary School South,#183 Best Public Elementary Schools in Chicago Area,Hawthorn Community Consolidated School District No. 73,grade A,676,13:1,,,,,,
183,Crow Island Elementary School,#185 Best Public Elementary Schools in Chicago Area,Winnetka School District No. 36,grade A,289,10:1,,,,,,
184,Field Elementary School,#186 Best Public Elementary Schools in Chicago Area,Elmhurst School District No. 205,grade A,393,15:1,Elmhurst School District No. 205,#13 Best School Districts in Chicago Area,"ELMHURST, IL",grade A+,13.0,8596.0
185,Heartland Elementary School,#187 Best Public Elementary Schools in Chicago Area,Geneva Community Unit School District No. 304,grade A,373,14:1,Geneva Community Unit School District No. 304,#25 Best School Districts in Chicago Area,"GENEVA, IL",grade A+,10.0,5537.0
186,Ravinia Elementary School,#188 Best Public Elementary Schools in Chicago Area,North Shore School District No. 112,grade A,231,12:1,,,,,,
187,Lake Bluff Elementary School,#189 Best Public Elementary Schools in Chicago Area,Lake Bluff Elementary School District No. 65,grade A,570,12:1,,,,,,
188,Williamsburg Elementary School,#190 Best Public Elementary Schools in Chicago Area,Geneva Community Unit School District No. 304,grade A,489,14:1,Geneva Community Unit School District No. 304,#25 Best School Districts in Chicago Area,"GENEVA, IL",grade A+,10.0,5537.0
189,Greenbrier Elementary School,#191 Best Public Elementary Schools in Chicago Area,Arlington Heights School District No. 25,grade A,417,17:1,,,,,,
190,Seth Paine Elementary School,#192 Best Public Elementary Schools in Chicago Area,Lake Zurich Community Unit School District No. 95,grade A,374,13:1,Lake Zurich Community Unit School District No. 95,#22 Best School Districts in Chicago Area,"LAKE ZURICH, IL",grade A+,8.0,5565.0
191,Algonquin Lakes Elementary School,#193 Best Public Elementary Schools in Chicago Area,Community Unit School District No. 300,grade A,407,15:1,Community Unit School District No. 300,#41 Best School Districts in Chicago Area,"ALGONQUIN, IL",grade B+,28.0,20613.0
192,Fabyan Elementary School,#194 Best Public Elementary Schools in Chicago Area,Geneva Community Unit School District No. 304,grade A,249,14:1,Geneva Community Unit School District No. 304,#25 Best School Districts in Chicago Area,"GENEVA, IL",grade A+,10.0,5537.0
193,Butterfield Elementary School,#195 Best Public Elementary Schools in Chicago Area,Lombard School District No. 44,grade A,272,14:1,,,,,,
194,Conley Elementary School,#196 Best Public Elementary Schools in Chicago Area,Huntley Community School District No 158,grade A,624,14:1,Huntley Community School District No 158,#27 Best School Districts in Chicago Area,"ALGONQUIN, IL",grade A,8.0,9110.0
195,George B. Carpenter Elementary School,#197 Best Public Elementary Schools in Chicago Area,Park Ridge - Niles District 64,grade A,450,13:1,,,,,,
196,Thomas Jefferson Elementary School,#198 Best Public Elementary Schools in Chicago Area,Valparaiso Community Schools,grade A,250,17:1,Valparaiso Community Schools,#37 Best School Districts in Chicago Area,"VALPARAISO, IN",grade A minus,12.0,6278.0
197,Longfellow Elementary School,#199 Best Public Elementary Schools in Chicago Area,Oak Park Elementary School District No. 97,grade A,695,14:1,,,,,,
198,Harper Elementary School,#200 Best Public Elementary Schools in Chicago Area,Wilmette School District No. 39,grade A,416,13:1,,,,,,
199,Chelsea Elementary School,#201 Best Public Elementary Schools in Chicago Area,Frankfort Community Consolidated School District No. 157-C,grade A,812,15:1,,,,,,
200,Kingsley Elementary School,#202 Best Public Elementary Schools in Chicago Area,Evanston Community Consolidated School District No. 65,grade A,383,14:1,,,,,,
201,Hawthorn Townline Elementary School,#203 Best Public Elementary Schools in Chicago Area,Hawthorn Community Consolidated School District No. 73,grade A,396,12:1,,,,,,
202,Willard Elementary School,#204 Best Public Elementary Schools in Chicago Area,Evanston Community Consolidated School District No. 65,grade A,494,14:1,,,,,,
203,Memorial Elementary School,#205 Best Public Elementary Schools in Chicago Area,Valparaiso Community Schools,grade A,472,21:1,Valparaiso Community Schools,#37 Best School Districts in Chicago Area,"VALPARAISO, IN",grade A minus,12.0,6278.0
204,Glen Oaks Elementary School,#206 Best Public Elementary Schools in Chicago Area,North Palos School District No. 117,grade A,676,15:1,,,,,,
205,Reba O. Steck Elementary School,#207 Best Public Elementary Schools in Chicago Area,Indian Prairie Community Unit School District No. 204,grade A,642,18:1,Indian Prairie Community Unit School District No. 204,#12 Best School Districts in Chicago Area,"AURORA, IL",grade A+,33.0,26906.0
206,Braeside Elementary School,#208 Best Public Elementary Schools in Chicago Area,North Shore School District No. 112,grade A,270,11:1,,,,,,
207,Southwest Elementary School,#209 Best Public Elementary Schools in Chicago Area,Evergreen Park Elementary School District No. 124,grade A,308,12:1,,,,,,
208,Horace Mann Elementary School,#210 Best Public Elementary Schools in Chicago Area,Oak Park Elementary School District No. 97,grade A,474,14:1,,,,,,
209,Martin Elementary School,#211 Best Public Elementary Schools in Chicago Area,Huntley Community School District No 158,grade A,826,15:1,Huntley Community School District No 158,#27 Best School Districts in Chicago Area,"ALGONQUIN, IL",grade A,8.0,9110.0
210,Brummitt Elementary School,#212 Best Public Elementary Schools in Chicago Area,Duneland School Corporation,grade A,316,16:1,Duneland School Corporation,#32 Best School Districts in Chicago Area,"CHESTERTON, IN",grade A,9.0,5865.0
211,Eastview Elementary School,#213 Best Public Elementary Schools in Chicago Area,Community Unit School District No. 300,grade A,432,14:1,Community Unit School District No. 300,#41 Best School Districts in Chicago Area,"ALGONQUIN, IL",grade B+,28.0,20613.0
212,Leggee Elementary School,#214 Best Public Elementary Schools in Chicago Area,Huntley Community School District No 158,grade A,924,14:1,Huntley Community School District No 158,#27 Best School Districts in Chicago Area,"ALGONQUIN, IL",grade A,8.0,9110.0
213,Spring Avenue Elementary School,#215 Best Public Elementary Schools in Chicago Area,LaGrange School District No. 105,grade A,316,13:1,,,,,,
214,John Middleton Elementary School,#216 Best Public Elementary Schools in Chicago Area,Skokie School District No. 73-5,grade A,556,12:1,,,,,,
215,Lincolnwood Elementary School,#217 Best Public Elementary Schools in Chicago Area,Evanston Community Consolidated School District No. 65,grade A,374,14:1,,,,,,
216,Maercker Elementary School,#218 Best Public Elementary Schools in Chicago Area,Maercker School District No. 60,grade A,450,14:1,,,,,,
217,Iroquois Community School,#219 Best Public Elementary Schools in Chicago Area,Community Consolidated School District No. 62,grade A,479,16:1,,,,,,
218,Oak Ridge Elementary School,#220 Best Public Elementary Schools in Chicago Area,North Palos School District No. 117,grade A,695,15:1,,,,,,
219,Evergreen Elementary School,#221 Best Public Elementary Schools in Chicago Area,Benjamin School District No. 25,grade A,331,11:1,,,,,,
220,Jackson Elementary School,#222 Best Public Elementary Schools in Chicago Area,Duneland School Corporation,grade A,307,17:1,Duneland School Corporation,#32 Best School Districts in Chicago Area,"CHESTERTON, IN",grade A,9.0,5865.0
221,George Washington Elementary School,#223 Best Public Elementary Schools in Chicago Area,Park Ridge - Niles District 64,grade A,651,15:1,,,,,,
222,Albert Einstein Elementary School,#224 Best Public Elementary Schools in Chicago Area,Schaumburg Community Consolidated School District No. 54,grade A,495,10:1,,,,,,
223,Lincoln Elementary School,#225 Best Public Elementary Schools in Chicago Area,Evanston Community Consolidated School District No. 65,grade A,521,13:1,,,,,,
224,Washington Elementary School,#226 Best Public Elementary Schools in Chicago Area,Evanston Community Consolidated School District No. 65,grade A,531,14:1,,,,,,
225,Hawthorn Aspen Elementary School,#227 Best Public Elementary Schools in Chicago Area,Hawthorn Community Consolidated School District No. 73,grade A,402,12:1,,,,,,
226,Protsman Elementary School,#228 Best Public Elementary Schools in Chicago Area,Lake Central School Corporation,grade A,627,18:1,Lake Central School Corporation,#33 Best School Districts in Chicago Area,"SAINT JOHN, IN",grade A,10.0,9587.0
227,Franklin Elementary School,#229 Best Public Elementary Schools in Chicago Area,Park Ridge - Niles District 64,grade A,561,14:1,,,,,,
228,Marion Jordan Elementary School,#230 Best Public Elementary Schools in Chicago Area,Palatine Community Consolidated School District No. 15,grade A,491,13:1,,,,,,
229,Rondout Elementary School,#231 Best Public Elementary Schools in Chicago Area,LAKE FOREST,grade A,137,8:1,,,,,,
230,Hunting Ridge Elementary School,#232 Best Public Elementary Schools in Chicago Area,Palatine Community Consolidated School District No. 15,grade A,716,17:1,,,,,,
231,Kolling Elementary School,#233 Best Public Elementary Schools in Chicago Area,Lake Central School Corporation,grade A,741,20:1,Lake Central School Corporation,#33 Best School Districts in Chicago Area,"SAINT JOHN, IN",grade A,10.0,9587.0
232,Walker Elementary School,#234 Best Public Elementary Schools in Chicago Area,Evanston Community Consolidated School District No. 65,grade A,372,12:1,,,,,,
233,Melzer School,#235 Best Public Elementary Schools in Chicago Area,East Maine School District No. 63,grade A,480,15:1,,,,,,
234,Wolfs Crossing Elementary School,#236 Best Public Elementary Schools in Chicago Area,Oswego Community Unit School District No. 308,grade A,467,15:1,Oswego Community Unit School District No. 308,#38 Best School Districts in Chicago Area,"OSWEGO, IL",grade A minus,22.0,17650.0
235,Indian Grove Elementary School,#237 Best Public Elementary Schools in Chicago Area,River Trails School District No. 26,grade A,561,14:1,,,,,,
236,Central Elementary School,#238 Best Public Elementary Schools in Chicago Area,Community Consolidated School District No. 62,grade A,282,11:1,,,,,,
237,Liberty Elementary School,#239 Best Public Elementary Schools in Chicago Area,Duneland School Corporation,grade A,514,18:1,Duneland School Corporation,#32 Best School Districts in Chicago Area,"CHESTERTON, IN",grade A,9.0,5865.0
238,Washington Elementary School,#240 Best Public Elementary Schools in Chicago Area,East Maine School District No. 63,grade A,379,14:1,,,,,,
239,Douglas MacArthur Elementary School,#241 Best Public Elementary Schools in Chicago Area,Crown Point Community School Corporation,grade A,440,15:1,Crown Point Community School Corporation,#30 Best School Districts in Chicago Area,"CROWN POINT, IN",grade A,10.0,8795.0
240,Park View Elementary School,#242 Best Public Elementary Schools in Chicago Area,MORTON GROVE,grade A,896,14:1,,,,,,
241,Westfield Elementary School,#243 Best Public Elementary Schools in Chicago Area,Community Consolidated School District 89,grade A,340,15:1,,,,,,
242,May Whitney Elementary School,#244 Best Public Elementary Schools in Chicago Area,Lake Zurich Community Unit School District No. 95,grade A minus,583,15:1,Lake Zurich Community Unit School District No. 95,#22 Best School Districts in Chicago Area,"LAKE ZURICH, IL",grade A+,8.0,5565.0
243,Parkview Elementary School,#245 Best Public Elementary Schools in Chicago Area,Valparaiso Community Schools,grade A minus,268,15:1,Valparaiso Community Schools,#37 Best School Districts in Chicago Area,"VALPARAISO, IN",grade A minus,12.0,6278.0
244,Frankfort Square Elementary School,#246 Best Public Elementary Schools in Chicago Area,Summit Hill School District No. 161,grade A minus,191,11:1,,,,,,
245,North Elementary School,#247 Best Public Elementary Schools in Chicago Area,Franklin Park School District No. 84,grade A minus,209,12:1,,,,,,
246,Seventh Avenue Elementary School,#248 Best Public Elementary Schools in Chicago Area,LaGrange School District No. 105,grade A minus,224,10:1,,,,,,
247,Meadowview School,#249 Best Public Elementary Schools in Chicago Area,Grayslake Community Consolidated School District No. 46,grade A minus,342,15:1,,,,,,
248,Henry Winkelman Elementary School,#250 Best Public Elementary Schools in Chicago Area,West Northfield School District No. 31,grade A minus,578,10:1,,,,,,
249,Hawthorne Scholastic Academy,#251 Best Public Elementary Schools in Chicago Area,Chicago Public Schools,grade A minus,568,15:1,,,,,,
250,Winfield Central School,#252 Best Public Elementary Schools in Chicago Area,Winfield School District No. 34,grade A minus,210,12:1,,,,,,
251,Manor Hill Elementary School,#253 Best Public Elementary Schools in Chicago Area,Lombard School District No. 44,grade A minus,271,9:1,,,,,,
252,Passow Elementary School,#254 Best Public Elementary Schools in Chicago Area,Franklin Park School District No. 84,grade A minus,458,14:1,,,,,,
253,Highlands Elementary School,#255 Best Public Elementary Schools in Chicago Area,Lagrange Highlands School District No. 106,grade A minus,545,14:1,,,,,,
254,Anderson Elementary School,#256 Best Public Elementary Schools in Chicago Area,St. Charles Community Unit School District No. 303,grade A minus,429,14:1,St. Charles Community Unit School District No. 303,#21 Best School Districts in Chicago Area,"SAINT CHARLES, IL",grade A+,17.0,12248.0
255,Prairie View Grade School,#257 Best Public Elementary Schools in Chicago Area,Central Community Unit School District No. 301,grade A minus,649,17:1,,,,,,
256,Abraham Lincoln Elementary School,#258 Best Public Elementary Schools in Chicago Area,Glen Ellyn School District No. 41,grade A minus,572,17:1,,,,,,
257,Pleasant Hill Elementary School,#259 Best Public Elementary Schools in Chicago Area,Palatine Community Consolidated School District No. 15,grade A minus,640,19:1,,,,,,
258,Cooks Corners Elementary School,#260 Best Public Elementary Schools in Chicago Area,Valparaiso Community Schools,grade A minus,442,16:1,Valparaiso Community Schools,#37 Best School Districts in Chicago Area,"VALPARAISO, IN",grade A minus,12.0,6278.0
259,J.T. Manning Elementary School,#261 Best Public Elementary Schools in Chicago Area,Community Unit School District No. 201,grade A minus,357,14:1,Community Unit School District No. 201,#29 Best School Districts in Chicago Area,"WESTMONT, IL",grade A,5.0,1343.0
260,Forest Elementary School,#262 Best Public Elementary Schools in Chicago Area,Community Consolidated School District No. 62,grade A minus,645,13:1,,,,,,
261,Olive-Mary Stitt School,#263 Best Public Elementary Schools in Chicago Area,Arlington Heights School District No. 25,grade A minus,658,17:1,,,,,,
262,Plainfield Elementary School,#264 Best Public Elementary Schools in Chicago Area,Community Consolidated School District No. 62,grade A minus,294,10:1,,,,,,
263,Homestead Elementary School,#265 Best Public Elementary Schools in Chicago Area,Oswego Community Unit School District No. 308,grade A minus,576,16:1,Oswego Community Unit School District No. 308,#38 Best School Districts in Chicago Area,"OSWEGO, IL",grade A minus,22.0,17650.0
264,Louise White Elementary School,#266 Best Public Elementary Schools in Chicago Area,Batavia Public School District 101,grade A minus,356,14:1,Batavia Public School District 101,#31 Best School Districts in Chicago Area,"BATAVIA, IL",grade A,8.0,5527.0
265,William Hatch Elementary School,#267 Best Public Elementary Schools in Chicago Area,Oak Park Elementary School District No. 97,grade A minus,382,14:1,,,,,,
266,Congress Park Elementary School,#268 Best Public Elementary Schools in Chicago Area,LaGrange School District No. 102,grade A minus,441,14:1,,,,,,
267,Navajo Heights Elementary School,#269 Best Public Elementary Schools in Chicago Area,Palos Heights School District No. 128,grade A minus,138,13:1,,,,,,
268,Keller Regional Gifted Center,#270 Best Public Elementary Schools in Chicago Area,Chicago Public Schools,grade A minus,234,20:1,,,,,,
269,Theodore Roosevelt Elementary School,#271 Best Public Elementary Schools in Chicago Area,Park Ridge - Niles District 64,grade A minus,685,14:1,,,,,,
270,Eugene Field Elementary School,#272 Best Public Elementary Schools in Chicago Area,Park Ridge - Niles District 64,grade A minus,673,13:1,,,,,,
271,Reed Elementary School,#273 Best Public Elementary Schools in Chicago Area,Will County School District No. 92,grade A minus,284,15:1,,,,,,
272,Benjamin Franklin Elementary School,#274 Best Public Elementary Schools in Chicago Area,Glen Ellyn School District No. 41,grade A minus,552,15:1,,,,,,
273,Rosemont Elementary School,#275 Best Public Elementary Schools in Chicago Area,ROSEMONT,grade A minus,217,8:1,,,,,,
274,Central Elementary School,#276 Best Public Elementary Schools in Chicago Area,Valparaiso Community Schools,grade A minus,142,14:1,Valparaiso Community Schools,#37 Best School Districts in Chicago Area,"VALPARAISO, IN",grade A minus,12.0,6278.0
275,John Simatovich Elementary School,#277 Best Public Elementary Schools in Chicago Area,Union Township School Corporation,grade A minus,235,17:1,Union Township School Corporation,#36 Best School Districts in Chicago Area,"VALPARAISO, IN",grade A,4.0,1463.0
276,Pleasant Lane Elementary School,#278 Best Public Elementary Schools in Chicago Area,Lombard School District No. 44,grade A minus,271,14:1,,,,,,
277,C.E. Miller Elementary School,#279 Best Public Elementary Schools in Chicago Area,Community Unit School District No. 201,grade A minus,267,13:1,Community Unit School District No. 201,#29 Best School Districts in Chicago Area,"WESTMONT, IL",grade A,5.0,1343.0
278,Decatur Classical School,#280 Best Public Elementary Schools in Chicago Area,Chicago Public Schools,grade A minus,282,16:1,,,,,,
279,Millennium Elementary School,#281 Best Public Elementary Schools in Chicago Area,Kirby School District No. 140,grade A minus,568,15:1,,,,,,
280,Lenart Elementary Regional Gifted Center,#282 Best Public Elementary Schools in Chicago Area,Chicago Public Schools,grade A minus,282,17:1,,,,,,
281,STEM Magnet Academy Elementary School,#283 Best Public Elementary Schools in Chicago Area,Chicago Public Schools,grade A minus,448,14:1,,,,,,
282,Frank C. Whiteley Elementary School,#284 Best Public Elementary Schools in Chicago Area,Palatine Community Consolidated School District No. 15,grade A minus,573,14:1,,,,,,
283,Freedom Elementary School,#285 Best Public Elementary Schools in Chicago Area,Plainfield School District No. 202,grade A minus,687,18:1,Plainfield School District No. 202,#42 Best School Districts in Chicago Area,"PLAINFIELD, IL",grade B+,30.0,26033.0
284,Fairview Elementary School,#286 Best Public Elementary Schools in Chicago Area,Mount Prospect School District No. 57,grade A minus,541,17:1,,,,,,
285,Skinner North Elementary School,#287 Best Public Elementary Schools in Chicago Area,Chicago Public Schools,grade A minus,537,14:1,,,,,,
286,Briar Glen Elementary School,#288 Best Public Elementary Schools in Chicago Area,Community Consolidated School District 89,grade A minus,499,16:1,,,,,,
287,Homan Elementary School,#289 Best Public Elementary Schools in Chicago Area,Lake Central School Corporation,grade A minus,523,16:1,Lake Central School Corporation,#33 Best School Districts in Chicago Area,"SAINT JOHN, IN",grade A,10.0,9587.0
288,Glen Grove Elementary School,#290 Best Public Elementary Schools in Chicago Area,Glenview Community Consolidated School District No. 34,grade A minus,460,12:1,,,,,,
289,Whittier Elementary School,#291 Best Public Elementary Schools in Chicago Area,Oak Park Elementary School District No. 97,grade A minus,483,12:1,,,,,,
290,Lincoln Elementary School,#292 Best Public Elementary Schools in Chicago Area,Hanover Community School Corporation,grade A minus,479,18:1,Hanover Community School Corporation,#46 Best School Districts in Chicago Area,"CEDAR LAKE, IN",grade B+,4.0,2461.0
291,Hoover Wood Elementary School,#293 Best Public Elementary Schools in Chicago Area,Batavia Public School District 101,grade A minus,363,14:1,Batavia Public School District 101,#31 Best School Districts in Chicago Area,"BATAVIA, IL",grade A,8.0,5527.0
292,Prairie Elementary School,#294 Best Public Elementary Schools in Chicago Area,Orland School District No. 135,grade A minus,497,15:1,,,,,,
293,Indian Trail Elementary School,#295 Best Public Elementary Schools in Chicago Area,North Shore School District No. 112,grade A minus,433,12:1,,,,,,
294,Pheasant Ridge Primary School,#296 Best Public Elementary Schools in Chicago Area,Queen Bee School District No. 16,grade A minus,325,13:1,,,,,,
295,Willow Bend Elementary School,#297 Best Public Elementary Schools in Chicago Area,Palatine Community Consolidated School District No. 15,grade A minus,587,15:1,,,,,,
296,Prescott Magnet Cluster School,#298 Best Public Elementary Schools in Chicago Area,Chicago Public Schools,grade A minus,465,15:1,,,,,,
297,Rutledge Hall Elementary School,#299 Best Public Elementary Schools in Chicago Area,Lincolnwood School District No. 74,grade A minus,389,11:1,,,,,,
298,Walkers Grove Elementary School,#300 Best Public Elementary Schools in Chicago Area,Plainfield School District No. 202,grade A minus,585,18:1,Plainfield School District No. 202,#42 Best School Districts in Chicago Area,"PLAINFIELD, IL",grade B+,30.0,26033.0
299,WM Hammerschmidt Elementary School,#301 Best Public Elementary Schools in Chicago Area,Lombard School District No. 44,grade A minus,437,15:1,,,,,,
300,Algonquin Road Elementary School,#302 Best Public Elementary Schools in Chicago Area,Fox River Grove Consolidated School District No. 3,grade A minus,223,12:1,,,,,,
301,Oliver W. Holmes Elementary School,#303 Best Public Elementary Schools in Chicago Area,Oak Park Elementary School District No. 97,grade A minus,520,12:1,,,,,,
302,Heritage Lakes Elementary School,#304 Best Public Elementary Schools in Chicago Area,Community Consolidated School District No. 93,grade A minus,314,12:1,,,,,,
303,River View Elementary School,#305 Best Public Elementary Schools in Chicago Area,Plainfield School District No. 202,grade A minus,661,15:1,Plainfield School District No. 202,#42 Best School Districts in Chicago Area,"PLAINFIELD, IL",grade B+,30.0,26033.0
304,Dr. Bessie Rhodes Magnet School,#306 Best Public Elementary Schools in Chicago Area,Evanston Community Consolidated School District No. 65,grade A minus,277,9:1,,,,,,
305,Millburn Elementary School,#307 Best Public Elementary Schools in Chicago Area,Millburn Community Consolidated School District No. 24,grade A minus,754,13:1,,,,,,
306,Edison Regional Gifted Center,#308 Best Public Elementary Schools in Chicago Area,Chicago Public Schools,grade A minus,264,16:1,,,,,,
307,Southeast Elementary School,#309 Best Public Elementary Schools in Chicago Area,Evergreen Park Elementary School District No. 124,grade A minus,331,12:1,,,,,,
308,Forest Glen Elementary School,#310 Best Public Elementary Schools in Chicago Area,Glen Ellyn School District No. 41,grade A minus,694,16:1,,,,,,
309,Palos West Elementary School,#311 Best Public Elementary Schools in Chicago Area,Palos Community Consolidated School District No. 118,grade A minus,664,14:1,,,,,,
310,Skinner Elementary School,#312 Best Public Elementary Schools in Chicago Area,Chicago Public Schools,grade A minus,1231,22:1,,,,,,
311,Arnold W. Kruse Education Center,#313 Best Public Elementary Schools in Chicago Area,Tinley Park Community Consolidated School District No. 146,grade A minus,421,13:1,,,,,,
312,Prairieview School,#314 Best Public Elementary Schools in Chicago Area,Grayslake Community Consolidated School District No. 46,grade A minus,360,13:1,,,,,,
313,Western Avenue Elementary School,#315 Best Public Elementary Schools in Chicago Area,Geneva Community Unit School District No. 304,grade A minus,357,14:1,Geneva Community Unit School District No. 304,#25 Best School Districts in Chicago Area,"GENEVA, IL",grade A+,10.0,5537.0
314,Sherwood Elementary School,#316 Best Public Elementary Schools in Chicago Area,North Shore School District No. 112,grade A minus,369,11:1,,,,,,
315,Centennial School,#317 Best Public Elementary Schools in Chicago Area,Orland School District No. 135,grade A minus,472,13:1,,,,,,
316,Prairie Grove Elementary School,#318 Best Public Elementary Schools in Chicago Area,Prairie Grove Central School District No. 46,grade A minus,477,12:1,,,,,,
317,Dan H. Pietrini Elementary School,#319 Best Public Elementary Schools in Chicago Area,Franklin Park School District No. 84,grade A minus,246,11:1,,,,,,
318,Lions Park Elementary School,#320 Best Public Elementary Schools in Chicago Area,Mount Prospect School District No. 57,grade A minus,484,16:1,,,,,,
319,Hollywood Elementary School,#321 Best Public Elementary Schools in Chicago Area,Riverside School District No. 96,grade A minus,143,17:1,,,,,,
320,Mill Creek School,#322 Best Public Elementary Schools in Chicago Area,Geneva Community Unit School District No. 304,grade A minus,480,15:1,Geneva Community Unit School District No. 304,#25 Best School Districts in Chicago Area,"GENEVA, IL",grade A+,10.0,5537.0
321,Irving Elementary School,#323 Best Public Elementary Schools in Chicago Area,Oak Park Elementary School District No. 97,grade A minus,498,13:1,,,,,,
322,John F. Kennedy Elementary School,#324 Best Public Elementary Schools in Chicago Area,Schiller Park School District No. 81,grade A minus,671,12:1,,,,,,
323,James H. Watson Elementary School,#325 Best Public Elementary Schools in Chicago Area,Lake Central School Corporation,grade A minus,539,20:1,Lake Central School Corporation,#33 Best School Districts in Chicago Area,"SAINT JOHN, IN",grade A,10.0,9587.0
